,year,inflation,salary_increase,salary_avg,inflation_growth,salary_depend,salary_growth
0,2007,10.8468362075558,130.6,50910,0.0,0.0,0.0
1,2008,17.139899777207,114.1,58599,17.139899777207003,15.10312315851503,15.10312315851503
2,2009,7.31607858288587,111.4,65964,25.7099468968212,29.56982911019445,12.568473864741714
3,2010,7.40046356742114,114.6,72251,35.01306571754492,41.919072873698696,9.53095627918259
4,2011,8.42488761919795,116.1,87470,46.38776477548194,71.81300333922609,21.064068317393534
5,2012,5.09791484975818,112.4,100584,53.85048837420032,97.57218621096052,14.992568880759126
6,2013,5.84640917320459,107.5,108836,62.84521743952962,113.78118247888432,8.204088125347964
7,2014,6.70657829092726,110.9,116768,73.76655944014236,129.361618542526,7.288029696056442
8,2015,6.66577611541544,104.1,118638,85.34944925588255,133.03476723629933,1.6014661551109866
9,2016,14.5460237946149,113.6,132769,112.31042424783088,160.79159300726772,11.911023449484981
10,2017,7.44000437325754,105.1,140265,128.1063290967511,175.51561579257515,5.6458962559031045
11,2018,6.01913096570671,108.4,152442,141.8363477861505,199.43429581614612,8.681424446583264
12,2019,5.2454767960839,114.3,168489,154.5218172937698,230.95462581025336,10.526626520250314
13,2020,6.7715458276334,114.6,200332,171.75687879314282,293.50225888823417,18.899156621500524
14,2021,8.04232062780269,117.0,230829,193.61243831379647,353.4060106069535,15.223229439131035
15,2022,14.96,123.8,285433,237.53685908554044,460.66195246513456,23.655606531241745
16,2023,14.83,119.3,340636,287.59357528792606,569.0944804557062,19.340090318918968
